ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (Skill level): Total,2023,1324196.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2023,282901.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 2 ~ medium,2023,957581.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 1 ~ low,2023,78138.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (Skill level): Not elsewhere classified,2023,5575.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (ISCO-08): Total,2023,1324196.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (ISCO-08): 1. Managers,2023,53505.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (ISCO-08): 2. Professionals,2023,180804.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2023,48592.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Total,Age (Aggregate bands): Total,Occupation (ISCO-08): 4. Clerical support workers,2023,26227.0,,,,Repository: ILO-STATISTICS - Micro data processing
