ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Total,2023,610061.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2023,146290.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 2 ~ medium,2023,414171.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 1 ~ low,2023,49166.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Not elsewhere classified,2023,434.0,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): Total,2023,610061.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 1. Managers,2023,12572.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 2. Professionals,2023,114731.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2023,18988.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 4. Clerical support workers,2023,17073.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 5. Service and sales workers,2023,102892.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2023,223191.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 7. Craft and related trades workers,2023,23061.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2023,47955.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 9. Elementary occupations,2023,49166.0,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 0. Armed forces occupations,2023,434.0,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Total,2023,1976877.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2023,964190.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 2 ~ medium,2023,422678.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 1 ~ low,2023,527350.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Not elsewhere classified,2023,62659.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): Total,2023,1976877.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 1. Managers,2023,231411.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 2. Professionals,2023,473743.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2023,259036.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 4. Clerical support workers,2023,167073.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 5. Service and sales workers,2023,221289.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2023,210.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 7. Craft and related trades workers,2023,18748.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2023,15358.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): 9. Elementary occupations,2023,527350.0,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,"Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (ISCO-08): X. Not elsewhere classified,2023,62659.0,,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,"LFS - Permanent Household Survey, Urban","Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Total,2023,5874946.0,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban","Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2023,1550732.0,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban","Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 2 ~ medium,2023,2815962.0,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban","Employment by sex, age and occupation (thousands)",Sex: Female,Age (Aggregate bands): Total,Occupation (Skill level): Skill level 1 ~ low,2023,1064547.0,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
